2025-09-24 15:45:56,786 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
2025-09-24 15:47:12,039 - 输入参数: [5.08521726e+02 3.49997060e+02 3.29792444e+00 9.19710387e+00
 6.18950540e+03 5.66133030e+03], 计算结果: 66387.08574117944
2025-09-24 15:47:15,320 - 输入参数: [3.24154717e+02 2.42369728e+02 6.94775614e-01 7.61523240e+00
 2.30473201e+03 3.86629761e+03], 计算结果: 79600.60328553835
2025-09-24 15:47:19,997 - 输入参数: [3.67684904e+02 3.86830663e+02 9.15268027e+00 7.19141685e+00
 9.26836511e+03 1.76565751e+03], 计算结果: 77203.04047138535
2025-09-24 15:47:24,381 - 输入参数: [1.51475889e+02 6.10789245e+02 3.55896115e+00 8.46920740e+00
 8.75619303e+03 2.78915100e+03], 计算结果: 66215.44499082275
2025-09-24 15:47:28,542 - 输入参数: [3.57054792e+02 1.39499281e+02 6.51874218e-01 9.37174191e+00
 6.36317797e+03 6.29461000e+03], 计算结果: 63255.75074982055
2025-09-24 15:47:32,691 - 输入参数: [8.77268993e+02 5.77080988e+02 9.07504180e+00 3.50272599e+00
 1.05394733e+03 5.10286634e+03], 计算结果: 80510.16264958234
2025-09-24 15:47:37,272 - 输入参数: [2.92818476e+02 8.75695920e+02 5.02782873e+00 4.12973212e+00
 8.61686832e+03 8.55477685e+03], 计算结果: 45668.496215080464
2025-09-24 15:47:39,761 - 输入参数: [ 441.22264239  924.99396908    8.77491205    9.0223117  1109.55826776
 1210.69384387], 计算结果: 112932.173254281
2025-09-24 15:47:44,207 - 输入参数: [9.40876089e+02 7.02696735e+02 2.09857183e-01 5.30378284e+00
 1.55364275e+03 5.82459540e+03], 计算结果: 61250.78362334993
2025-09-24 15:47:48,897 - 输入参数: [5.94394378e+02 9.37842433e+02 8.76820827e+00 7.60690346e+00
 7.72075135e+03 8.63318059e+03], 计算结果: 51810.012604156414
2025-09-24 15:47:53,575 - 输入参数: [9.13098159e+02 8.80930413e+02 8.91806790e+00 5.01752478e+00
 1.59271035e+03 6.55236635e+03], 计算结果: 64976.88875034667
2025-09-24 15:47:58,060 - 输入参数: [6.34382558e+02 6.74759009e+02 9.96187772e+00 1.93371599e+00
 7.06614884e+03 5.83595359e+03], 计算结果: 58658.560244711414
2025-09-24 15:48:01,579 - 输入参数: [5.36770206e+02 3.91792921e+02 1.27257176e+00 2.17492071e+00
 4.04770089e+03 3.60523245e+03], 计算结果: 62485.081591599854
2025-09-24 15:48:05,587 - 输入参数: [7.41903158e+02 7.23257529e+02 3.71985840e+00 8.62500353e+00
 4.43815692e+03 4.23030063e+03], 计算结果: 70542.3386386586
2025-09-24 15:48:09,634 - 输入参数: [4.90108055e+02 9.89841757e+02 1.95334082e+00 5.58915764e+00
 5.22253607e+03 4.13320383e+03], 计算结果: 60712.60065467846
2025-09-24 15:48:13,815 - 输入参数: [6.24354114e+02 4.29454238e+02 2.02201348e+00 2.64472829e+00
 7.12274051e+03 1.64172526e+03], 计算结果: 61254.51395871906
2025-09-24 15:48:18,341 - 输入参数: [8.86011185e+02 6.30957833e+02 2.12493054e+00 6.05825811e+00
 4.22488463e+03 5.99431707e+03], 计算结果: 58503.10572142068
2025-09-24 15:48:22,972 - 输入参数: [7.40522732e+02 6.20261568e+02 3.83647600e-01 3.89418298e+00
 8.98782402e+03 5.91016327e+03], 计算结果: 42896.07555922336
2025-09-24 15:48:26,726 - 输入参数: [ 163.61386193   42.89645554    7.48106697    8.88223418 3852.67755304
 5269.06953943], 计算结果: 88828.64751565868
2025-09-24 15:48:31,762 - 输入参数: [8.04301427e+02 8.14738117e+02 4.14541445e+00 1.31123731e+00
 9.98568037e+03 1.93065118e+03], 计算结果: 49062.84708139345
2025-09-24 15:48:36,263 - 输入参数: [ 384.81886846  747.38683971    8.19001039    8.62976282 7322.02582
 7114.79313785], 计算结果: 63334.76095112534
2025-09-24 15:48:41,285 - 输入参数: [5.74076338e+02 1.56236296e+02 8.12487171e+00 3.58600954e-01
 3.32110332e+03 9.82409469e+03], 计算结果: 55922.04558761825
2025-09-24 15:48:45,014 - 输入参数: [2.03462274e+02 7.79405593e+02 7.19531256e+00 2.59708070e+00
 5.16640250e+03 2.13863860e+02], 计算结果: 85180.53555762285
2025-09-24 15:48:49,562 - 输入参数: [7.94336874e+02 3.62342481e+02 8.94527861e+00 1.76283889e+00
 7.22370484e+03 7.61605307e+03], 计算结果: 52931.45813275773
2025-09-24 15:48:52,399 - 输入参数: [2.50608202e+01 4.87016654e+01 3.08679152e+00 9.62996403e+00
 1.16412125e+03 3.21394626e+03], 计算结果: 142534.90957169404
2025-09-24 15:48:57,131 - 输入参数: [8.32120747e+02 7.43050361e+02 7.98251004e+00 6.55248599e+00
 4.39994649e+03 7.93530520e+03], 计算结果: 59025.61144163612
2025-09-24 15:49:02,340 - 输入参数: [4.63478738e+02 3.19943433e+02 1.14016829e+00 3.36977129e+00
 9.58722658e+03 5.96326144e+02], 计算结果: 58764.9440616784
2025-09-24 15:49:04,655 - 输入参数: [ 619.43521504  360.43303264    4.46941098    7.46912449 1344.98333993
 1625.83607297], 计算结果: 102903.9947343204
2025-09-24 15:49:09,366 - 输入参数: [8.76578683e+02 6.13375490e+02 4.77947095e+00 9.65412982e+00
 9.37555488e+03 8.80586159e+03], 计算结果: 46641.38709770481
2025-09-24 15:49:11,397 - 输入参数: [ 289.11833584  375.66082918    6.24453179    2.30843102 1135.4381032
 1559.02183799], 计算结果: 93749.99643518389
2025-09-24 15:49:16,090 - 输入参数: [2.88718237e+02 7.92192770e+02 3.41701406e-01 4.87029698e+00
 6.90098213e+03 9.27514029e+03], 计算结果: 42918.37494408178
2025-09-24 15:49:20,950 - 输入参数: [8.30727114e+02 8.89419609e+02 4.49453805e+00 3.26935712e+00
 9.10309424e+03 5.67292166e+03], 计算结果: 43643.73966180821
2025-09-24 15:49:25,599 - 输入参数: [3.25030794e+02 1.28956430e+02 3.83119770e+00 3.28096030e+00
 9.28887815e+03 2.72162476e+03], 计算结果: 67166.29969951099
2025-09-24 15:49:30,728 - 输入参数: [6.05267046e+01 1.54158967e+02 9.29433866e+00 8.54050391e+00
 1.34676101e+03 9.60265957e+03], 计算结果: 82848.8386581927
2025-09-24 15:49:35,450 - 输入参数: [2.75513379e+02 9.94736602e+02 4.94568597e+00 9.74428831e+00
 2.55186632e+03 7.51407076e+03], 计算结果: 72952.27693053489
2025-09-24 15:49:40,496 - 输入参数: [7.94121783e+02 5.43681228e+02 5.54964710e+00 8.72287100e+00
 2.30720871e+03 9.59423582e+03], 计算结果: 64380.98608371131
2025-09-24 15:49:42,593 - 输入参数: [ 520.12535043  286.43019229    8.59919085    6.19928534 2152.79352251
  639.50528994], 计算结果: 112061.6212976494
2025-09-24 15:49:47,407 - 输入参数: [6.54739063e+02 8.95536877e+01 8.05573611e+00 9.29221498e+00
 8.88355790e+03 9.76463061e+02], 计算结果: 84761.14024151613
2025-09-24 15:49:51,748 - 输入参数: [9.96215247e+02 6.16692369e+02 8.96603428e+00 4.72490773e+00
 7.33754325e+03 4.38747205e+03], 计算结果: 59337.895852615955
2025-09-24 15:49:54,582 - 输入参数: [  23.16882192  450.14639452    3.25477051    6.52310086  642.74791724
 3057.52584734], 计算结果: 94810.39104851228
2025-09-24 15:49:59,254 - 输入参数: [2.11520617e+02 8.58186325e+02 1.21596475e+00 7.52419981e+00
 7.74457819e+03 8.95376853e+03], 计算结果: 46518.051983239086
2025-09-24 15:50:03,716 - 输入参数: [ 693.82540143  934.63059551    6.78533995    9.35346471 6506.74691404
 5329.15478039], 计算结果: 61033.86850276054
2025-09-24 15:50:06,777 - 输入参数: [ 667.5347883   698.4888703     8.10849124    3.92760493 1836.9251904
 2703.07861825], 计算结果: 89529.06761727159
2025-09-24 15:50:09,568 - 输入参数: [5.87138939e+02 4.81290059e+02 5.67474830e+00 2.63975339e+00
 3.43485077e+03 2.98782785e+02], 计算结果: 89266.29439661728
2025-09-24 15:50:14,573 - 输入参数: [2.41452119e+02 8.35714638e+01 7.02979378e+00 2.87775402e+00
 1.16466085e+03 8.78018008e+03], 计算结果: 79350.29686695259
2025-09-24 15:50:19,483 - 输入参数: [3.78983000e+02 7.87602902e+02 3.59469656e+00 7.30980498e+00
 8.43385034e+03 7.23596673e+02], 计算结果: 70508.97623774149
2025-09-24 15:50:24,278 - 输入参数: [2.82861152e+01 4.69612123e+02 8.14103104e+00 2.71680161e+00
 1.36641788e+03 8.01641243e+03], 计算结果: 73811.69978577973
2025-09-24 15:50:28,224 - 输入参数: [ 313.26518202  876.79307954    9.47023947    9.74377086 4755.02151157
 4555.99032624], 计算结果: 84584.0256388022
2025-09-24 15:50:32,864 - 输入参数: [1.46114005e+02 8.63710535e+02 7.42882445e+00 3.84664042e+00
 8.68026356e+03 7.87655720e+03], 计算结果: 50904.64983852936
2025-09-24 15:50:38,023 - 输入参数: [9.08206059e+02 2.92414700e+02 2.47330289e+00 6.54144027e-01
 1.17466397e+03 8.62399981e+03], 计算结果: 53837.344811693925
2025-09-24 15:50:42,482 - 输入参数: [1.00000000e+03 6.19387562e+02 7.85964316e+00 3.87757563e+00
 7.26923160e+03 5.88778817e+03], 计算结果: 53144.98240278955
2025-09-24 15:50:47,430 - 输入参数: [2.74718260e+02 1.16933415e+02 5.23362632e-01 7.66070211e+00
 0.00000000e+00 7.57967185e+03], 计算结果: 83753.54454190236
2025-09-24 15:50:52,070 - 输入参数: [8.07774522e+02 6.95277385e+02 0.00000000e+00 5.11424443e+00
 9.73056263e+03 6.25194014e+03], 计算结果: 40735.97362854345
2025-09-24 15:50:57,009 - 输入参数: [3.96942781e+02 6.25706964e+02 3.42814088e+00 0.00000000e+00
 9.39615802e+03 1.20588043e+03], 计算结果: 53402.53739962299
2025-09-24 15:51:01,392 - 输入参数: [1.00000000e+03 3.93977519e+02 1.60070764e+00 5.27554810e+00
 0.00000000e+00 5.85010707e+03], 计算结果: 72906.94721279306
